sample,best available identification,reads/400,label
B1234,Actinobacteridae,1,BellyButtonsMuseum2
B1234,Actinobacteridae,2,BellyButtonsMuseum2
B1234,Actinobacteridae,5,BellyButtonsMuseum2
B1234,Actinomyces,7,BellyButtonsMuseum2
B1234,Anaerococcus,1,BellyButtonsMuseum2
B1234,Anaerococcus,1,BellyButtonsMuseum2
B1234,Anaerococcus,1,BellyButtonsMuseum2
B1234,Anaerococcus,1,BellyButtonsMuseum2
B1234,Anaerococcus,1,BellyButtonsMuseum2
B1234,Anaerococcus,11,BellyButtonsMuseum2
B1234,Anaerococcus,2,BellyButtonsMuseum2
B1234,Anaerococcus,4,BellyButtonsMuseum2
B1234,Anaerococcus,56,BellyButtonsMuseum2
B1234,Anaerococcus,8,BellyButtonsMuseum2
B1234,Bacteroidetes,43,BellyButtonsMuseum2
B1234,Caenibacterium,1,BellyButtonsMuseum2
B1234,Campylobacter,2,BellyButtonsMuseum2
B1234,Campylobacter,7,BellyButtonsMuseum2
B1234,Campylobacterales,1,BellyButtonsMuseum2
B1234,Clostridiales,1,BellyButtonsMuseum2
B1234,Clostridiales,1,BellyButtonsMuseum2
B1234,Clostridiales,2,BellyButtonsMuseum2
B1234,Clostridiales,9,BellyButtonsMuseum2
B1234,Corynebacterineae,1,BellyButtonsMuseum2
B1234,Corynebacterineae,1,BellyButtonsMuseum2
B1234,Corynebacterium,1,BellyButtonsMuseum2
B1234,Corynebacterium,2,BellyButtonsMuseum2
B1234,Dialister,2,BellyButtonsMuseum2
B1234,Finegoldia,1,BellyButtonsMuseum2
B1234,Finegoldia,37,BellyButtonsMuseum2
B1234,Firmicutes,1,BellyButtonsMuseum2
B1234,Mobiluncus,29,BellyButtonsMuseum2
B1234,Peptoniphilus,1,BellyButtonsMuseum2
B1234,Peptoniphilus,16,BellyButtonsMuseum2
B1234,Peptoniphilus,35,BellyButtonsMuseum2
B1234,Peptoniphilus,9,BellyButtonsMuseum2
B1234,Porphyromonas,1,BellyButtonsMuseum2
B1234,Porphyromonas,23,BellyButtonsMuseum2
B1234,Prevotella,9,BellyButtonsMuseum2
B1234,Sphingobacterium,1,BellyButtonsMuseum2
B1234,unidentified,1,BellyButtonsMuseum2
B1234,unidentified,1,BellyButtonsMuseum2
B1234,unidentified,1,BellyButtonsMuseum2
B1234,unidentified,1,BellyButtonsMuseum2
B1234,unidentified,40,BellyButtonsMuseum2
B1234,unidentified,6,BellyButtonsMuseum2
B1234,unidentified,9,BellyButtonsMuseum2
B1234,Varibaculum,3,BellyButtonsMuseum2
B1235,Aerococcaceae,1,BellyButtonsMuseum2
B1235,Anaerococcus,1,BellyButtonsMuseum2
B1235,Anaerococcus,1,BellyButtonsMuseum2
B1235,Anaerococcus,1,BellyButtonsMuseum2
B1235,Anaerococcus,1,BellyButtonsMuseum2
B1235,Anaerococcus,1,BellyButtonsMuseum2
B1235,Anaerococcus,3,BellyButtonsMuseum2
B1235,Anaerococcus,39,BellyButtonsMuseum2
B1235,Anaerococcus,6,BellyButtonsMuseum2
B1235,Anaerococcus,6,BellyButtonsMuseum2
B1235,Bacteroidetes,1,BellyButtonsMuseum2
B1235,Bacteroidetes,1,BellyButtonsMuseum2
B1235,Bacteroidetes,1,BellyButtonsMuseum2
B1235,Bacteroidetes,2,BellyButtonsMuseum2
B1235,Bacteroidetes,21,BellyButtonsMuseum2
B1235,Bacteroidetes,3,BellyButtonsMuseum2
B1235,Campylobacter,4,BellyButtonsMuseum2
B1235,Clostridiales,1,BellyButtonsMuseum2
B1235,Clostridiales,1,BellyButtonsMuseum2
B1235,Clostridiales,1,BellyButtonsMuseum2
B1235,Clostridiales,1,BellyButtonsMuseum2
B1235,Clostridiales,1,BellyButtonsMuseum2
B1235,Clostridiales,1,BellyButtonsMuseum2
B1235,Clostridiales,29,BellyButtonsMuseum2
B1235,Clostridiales,3,BellyButtonsMuseum2
B1235,Clostridiales,9,BellyButtonsMuseum2
B1235,Corynebacterineae,1,BellyButtonsMuseum2
B1235,Corynebacterineae,14,BellyButtonsMuseum2
B1235,Corynebacterineae,4,BellyButtonsMuseum2
B1235,Corynebacterium,2,BellyButtonsMuseum2
B1235,Corynebacterium,2,BellyButtonsMuseum2
B1235,Corynebacterium,36,BellyButtonsMuseum2
B1235,Cupriavidus,1,BellyButtonsMuseum2
B1235,Dermabacter,1,BellyButtonsMuseum2
B1235,Dialister,1,BellyButtonsMuseum2
B1235,Dialister,4,BellyButtonsMuseum2
B1235,Fastidiosipila,1,BellyButtonsMuseum2
B1235,Finegoldia,1,BellyButtonsMuseum2
B1235,Finegoldia,9,BellyButtonsMuseum2
B1235,Lactobacillales,1,BellyButtonsMuseum2
B1235,Lactobacillales,18,BellyButtonsMuseum2
B1235,Mobiluncus,3,BellyButtonsMuseum2
B1235,Pasteurellaceae,1,BellyButtonsMuseum2
B1235,Peptococcus,1,BellyButtonsMuseum2
B1235,Peptoniphilus,1,BellyButtonsMuseum2
B1235,Peptoniphilus,1,BellyButtonsMuseum2
B1235,Peptoniphilus,1,BellyButtonsMuseum2
B1235,Peptoniphilus,1,BellyButtonsMuseum2
B1235,Peptoniphilus,1,BellyButtonsMuseum2
B1235,Peptoniphilus,10,BellyButtonsMuseum2
B1235,Peptoniphilus,40,BellyButtonsMuseum2
B1235,Porphyromonadaceae,1,BellyButtonsMuseum2
B1235,Porphyromonas,1,BellyButtonsMuseum2
B1235,Porphyromonas,11,BellyButtonsMuseum2
B1235,Prevotella,2,BellyButtonsMuseum2
B1235,Prevotella,7,BellyButtonsMuseum2
B1235,Prevotella,9,BellyButtonsMuseum2
B1235,Prevotellaceae,1,BellyButtonsMuseum2
B1235,Prevotellaceae,1,BellyButtonsMuseum2
B1235,Staphylococcus,21,BellyButtonsMuseum2
B1235,unidentified,1,BellyButtonsMuseum2
B1235,unidentified,1,BellyButtonsMuseum2
B1235,unidentified,1,BellyButtonsMuseum2
B1235,unidentified,2,BellyButtonsMuseum2
B1235,unidentified,2,BellyButtonsMuseum2
B1235,unidentified,3,BellyButtonsMuseum2
B1235,unidentified,37,BellyButtonsMuseum2
B1235,Varibaculum,1,BellyButtonsMuseum2
B1235,Veillonellaceae,2,BellyButtonsMuseum2
B1236,Acinetobacter,1,BellyButtonsMuseum2
B1236,Actinobacteridae,1,BellyButtonsMuseum2
B1236,Actinobacteridae,38,BellyButtonsMuseum2
B1236,Actinobacteridae,8,BellyButtonsMuseum2
B1236,Actinomyces,1,BellyButtonsMuseum2
B1236,Actinomyces,13,BellyButtonsMuseum2
B1236,Actinomycetales,1,BellyButtonsMuseum2
B1236,Aerococcaceae,2,BellyButtonsMuseum2
B1236,Anaerococcus,1,BellyButtonsMuseum2
B1236,Anaerococcus,1,BellyButtonsMuseum2
B1236,Anaerococcus,1,BellyButtonsMuseum2
B1236,Anaerococcus,1,BellyButtonsMuseum2
B1236,Anaerococcus,1,BellyButtonsMuseum2
B1236,Anaerococcus,1,BellyButtonsMuseum2
B1236,Anaerococcus,1,BellyButtonsMuseum2
B1236,Anaerococcus,1,BellyButtonsMuseum2
B1236,Anaerococcus,1,BellyButtonsMuseum2
B1236,Anaerococcus,11,BellyButtonsMuseum2
B1236,Anaerococcus,2,BellyButtonsMuseum2
B1236,Anaerococcus,28,BellyButtonsMuseum2
B1236,Anaerococcus,42,BellyButtonsMuseum2
B1236,Anaerococcus,55,BellyButtonsMuseum2
B1236,Bacteroidetes,1,BellyButtonsMuseum2
B1236,Bacteroidetes,1,BellyButtonsMuseum2
B1236,Bacteroidetes,15,BellyButtonsMuseum2
B1236,Chloroplast,1,BellyButtonsMuseum2
B1236,Corynebacterineae,1,BellyButtonsMuseum2
B1236,Corynebacterineae,1,BellyButtonsMuseum2
B1236,Corynebacterineae,1,BellyButtonsMuseum2
B1236,Corynebacterineae,1,BellyButtonsMuseum2
B1236,Corynebacterineae,2,BellyButtonsMuseum2
B1236,Corynebacterineae,2,BellyButtonsMuseum2
B1236,Corynebacterineae,2,BellyButtonsMuseum2
B1236,Corynebacterineae,3,BellyButtonsMuseum2
B1236,Corynebacterineae,84,BellyButtonsMuseum2
B1236,Corynebacterium,1,BellyButtonsMuseum2
B1236,Corynebacterium,14,BellyButtonsMuseum2
B1236,Corynebacterium,24,BellyButtonsMuseum2
B1236,Dermabacter,9,BellyButtonsMuseum2
B1236,Finegoldia,13,BellyButtonsMuseum2
B1236,Mobiluncus,2,BellyButtonsMuseum2
B1236,Peptoniphilus,5,BellyButtonsMuseum2
B1236,Prevotella,2,BellyButtonsMuseum2
B1236,Propionibacteriaceae,1,BellyButtonsMuseum2
B1236,Turicella,2,BellyButtonsMuseum2
B1237,Actinobacteridae,1,BellyButtonsMuseum2
B1237,Actinobacteridae,1,BellyButtonsMuseum2
B1237,Actinobacteridae,1,BellyButtonsMuseum2
B1237,Aerococcaceae,2,BellyButtonsMuseum2
B1237,Anaerococcus,1,BellyButtonsMuseum2
B1237,Anaerococcus,1,BellyButtonsMuseum2
B1237,Anaerococcus,1,BellyButtonsMuseum2
B1237,Anaerococcus,1,BellyButtonsMuseum2
B1237,Anaerococcus,1,BellyButtonsMuseum2
B1237,Anaerococcus,1,BellyButtonsMuseum2
B1237,Anaerococcus,1,BellyButtonsMuseum2
B1237,Anaerococcus,1,BellyButtonsMuseum2
B1237,Anaerococcus,17,BellyButtonsMuseum2
B1237,Anaerococcus,2,BellyButtonsMuseum2
B1237,Anaerococcus,5,BellyButtonsMuseum2
B1237,Anaerococcus,50,BellyButtonsMuseum2
B1237,Anaerococcus,61,BellyButtonsMuseum2
B1237,Bacillales,1,BellyButtonsMuseum2
B1237,Bacillales,1,BellyButtonsMuseum2
B1237,Bacilli,1,BellyButtonsMuseum2
B1237,Bacilli,1,BellyButtonsMuseum2
B1237,Bacilli,4,BellyButtonsMuseum2
B1237,Bacillus,1,BellyButtonsMuseum2
B1237,Bacteroidetes,2,BellyButtonsMuseum2
B1237,Bradyrhizobiaceae,1,BellyButtonsMuseum2
B1237,Chloroplast,1,BellyButtonsMuseum2
B1237,Chloroplast,2,BellyButtonsMuseum2
B1237,Clostridiales,1,BellyButtonsMuseum2
B1237,Clostridiales,1,BellyButtonsMuseum2
B1237,Corynebacterineae,1,BellyButtonsMuseum2
B1237,Corynebacterineae,1,BellyButtonsMuseum2
B1237,Corynebacterineae,2,BellyButtonsMuseum2
B1237,Corynebacterineae,5,BellyButtonsMuseum2
B1237,Corynebacterium,6,BellyButtonsMuseum2
B1237,Dermabacter,1,BellyButtonsMuseum2
B1237,Enterobacteriaceae,1,BellyButtonsMuseum2
B1237,Fastidiosipila,1,BellyButtonsMuseum2
B1237,Finegoldia,1,BellyButtonsMuseum2
B1237,Finegoldia,1,BellyButtonsMuseum2
B1237,Finegoldia,27,BellyButtonsMuseum2
B1237,Firmicutes,1,BellyButtonsMuseum2
B1237,Firmicutes,1,BellyButtonsMuseum2
B1237,Flavobacteriaceae,1,BellyButtonsMuseum2
B1237,Ignavigranum,1,BellyButtonsMuseum2
B1237,Lactobacillales,1,BellyButtonsMuseum2
B1237,Mobiluncus,1,BellyButtonsMuseum2
B1237,Peptococcus,1,BellyButtonsMuseum2
B1237,Peptoniphilus,1,BellyButtonsMuseum2
B1237,Peptoniphilus,1,BellyButtonsMuseum2
B1237,Peptoniphilus,1,BellyButtonsMuseum2
B1237,Peptoniphilus,1,BellyButtonsMuseum2
B1237,Peptoniphilus,2,BellyButtonsMuseum2
B1237,Peptoniphilus,21,BellyButtonsMuseum2
B1237,Porphyromonadaceae,1,BellyButtonsMuseum2
B1237,Staphylococcaceae,1,BellyButtonsMuseum2
B1237,Staphylococcus,1,BellyButtonsMuseum2
B1237,Staphylococcus,1,BellyButtonsMuseum2
B1237,Staphylococcus,146,BellyButtonsMuseum2
B1237,unidentified,1,BellyButtonsMuseum2
B1237,unidentified,1,BellyButtonsMuseum2
B1237,unidentified,1,BellyButtonsMuseum2
B1237,Varibaculum,1,BellyButtonsMuseum2
B1242,Actinobacteridae,1,BellyButtonsMuseum2
B1242,Actinobacteridae,1,BellyButtonsMuseum2
B1242,Actinobacteridae,1,BellyButtonsMuseum2
B1242,Actinobacteridae,1,BellyButtonsMuseum2
B1242,Actinobacteridae,2,BellyButtonsMuseum2
B1242,Aerococcaceae,4,BellyButtonsMuseum2
B1242,Anaerococcus,1,BellyButtonsMuseum2
B1242,Anaerococcus,1,BellyButtonsMuseum2
B1242,Anaerococcus,1,BellyButtonsMuseum2
B1242,Anaerococcus,1,BellyButtonsMuseum2
B1242,Anaerococcus,1,BellyButtonsMuseum2
B1242,Anaerococcus,1,BellyButtonsMuseum2
B1242,Anaerococcus,1,BellyButtonsMuseum2
B1242,Anaerococcus,1,BellyButtonsMuseum2
B1242,Anaerococcus,14,BellyButtonsMuseum2
B1242,Anaerococcus,3,BellyButtonsMuseum2
B1242,Anaerococcus,3,BellyButtonsMuseum2
B1242,Anaerococcus,4,BellyButtonsMuseum2
B1242,Anaerococcus,4,BellyButtonsMuseum2
B1242,Anaerococcus,53,BellyButtonsMuseum2
B1242,Bacteroidetes,7,BellyButtonsMuseum2
B1242,Branhamella,1,BellyButtonsMuseum2
B1242,Campylobacter,5,BellyButtonsMuseum2
B1242,Chloroplast,1,BellyButtonsMuseum2
B1242,Clostridia,1,BellyButtonsMuseum2
B1242,Clostridiales,1,BellyButtonsMuseum2
B1242,Clostridiales,10,BellyButtonsMuseum2
B1242,Clostridiales,4,BellyButtonsMuseum2
B1242,Corynebacterineae,1,BellyButtonsMuseum2
B1242,Corynebacterineae,1,BellyButtonsMuseum2
B1242,Corynebacterineae,4,BellyButtonsMuseum2
B1242,Corynebacterineae,4,BellyButtonsMuseum2
B1242,Corynebacterium,1,BellyButtonsMuseum2
B1242,Corynebacterium,1,BellyButtonsMuseum2
B1242,Corynebacterium,5,BellyButtonsMuseum2
B1242,Corynebacterium,7,BellyButtonsMuseum2
B1242,Corynebacterium,92,BellyButtonsMuseum2
B1242,Dermabacter,3,BellyButtonsMuseum2
B1242,Dialister,4,BellyButtonsMuseum2
B1242,Finegoldia,1,BellyButtonsMuseum2
B1242,Finegoldia,3,BellyButtonsMuseum2
B1242,Finegoldia,47,BellyButtonsMuseum2
B1242,Lactobacillales,8,BellyButtonsMuseum2
B1242,Mobiluncus,1,BellyButtonsMuseum2
B1242,Peptococcus,1,BellyButtonsMuseum2
B1242,Peptoniphilus,1,BellyButtonsMuseum2
B1242,Peptoniphilus,1,BellyButtonsMuseum2
B1242,Peptoniphilus,1,BellyButtonsMuseum2
B1242,Peptoniphilus,15,BellyButtonsMuseum2
B1242,Peptoniphilus,2,BellyButtonsMuseum2
B1242,Porphyromonas,3,BellyButtonsMuseum2
B1242,Prevotella,1,BellyButtonsMuseum2
B1242,Prevotella,3,BellyButtonsMuseum2
B1242,Staphylococcus,1,BellyButtonsMuseum2
B1242,Staphylococcus,1,BellyButtonsMuseum2
B1242,Staphylococcus,38,BellyButtonsMuseum2
B1242,unidentified,1,BellyButtonsMuseum2
B1242,unidentified,12,BellyButtonsMuseum2
B1242,unidentified,2,BellyButtonsMuseum2
B1242,unidentified,2,BellyButtonsMuseum2
B1242,Veillonellaceae,3,BellyButtonsMuseum2
B1243,Acinetobacter,1,BellyButtonsMuseum2
B1243,Acinetobacter,3,BellyButtonsMuseum2
B1243,Actinobacteridae,1,BellyButtonsMuseum2
B1243,Actinobacteridae,18,BellyButtonsMuseum2
B1243,Aerococcaceae,3,BellyButtonsMuseum2
B1243,Aerococcus,1,BellyButtonsMuseum2
B1243,Anaerococcus,1,BellyButtonsMuseum2
B1243,Anaerococcus,1,BellyButtonsMuseum2
B1243,Anaerococcus,1,BellyButtonsMuseum2
B1243,Anaerococcus,2,BellyButtonsMuseum2
B1243,Anaerococcus,2,BellyButtonsMuseum2
B1243,Anaerococcus,2,BellyButtonsMuseum2
B1243,Anaerococcus,26,BellyButtonsMuseum2
B1243,Anaerococcus,26,BellyButtonsMuseum2
B1243,Anaerococcus,4,BellyButtonsMuseum2
